date,ExpediaWebScraper,ExpediaAppScraper
2021-05-25 00:15,,
2021-05-25 08:15,238.0,238.0
2021-05-25 16:15,,
2021-05-26 00:15,212.0,212.0
2021-05-26 08:15,,
2021-05-26 16:15,238.0,238.0
2021-05-27 00:15,238.0,238.0
2021-05-27 08:15,238.0,238.0
2021-05-27 16:15,238.0,238.0
2021-05-28 00:15,,
2021-05-28 08:15,238.0,238.0
2021-05-28 16:15,238.0,238.0
2021-05-29 00:15,238.0,238.0
2021-05-29 08:15,238.0,238.0
2021-05-29 16:15,238.0,238.0
2021-05-30 00:15,238.0,238.0
2021-05-30 08:15,238.0,238.0
2021-05-30 16:15,238.0,238.0
2021-05-31 00:15,238.0,238.0
2021-05-31 08:15,238.0,238.0
2021-05-31 16:15,,
2021-06-01 00:15,238.0,238.0
2021-06-01 08:15,238.0,238.0
2021-06-01 16:15,271.0,271.0
2021-06-02 00:15,238.0,238.0
2021-06-02 08:15,271.0,271.0
2021-06-02 16:15,271.0,271.0
2021-06-03 00:15,271.0,271.0
2021-06-03 08:15,271.0,271.0
2021-06-03 16:15,271.0,271.0
2021-06-04 00:15,271.0,271.0
2021-06-04 08:15,271.0,271.0
2021-06-04 16:15,271.0,271.0
2021-06-05 00:00,271.0,271.0
2021-06-05 08:00,,
2021-06-05 16:00,,
2021-06-06 00:00,,
2021-06-06 08:00,,
2021-06-06 16:00,,
2021-06-07 00:00,,
2021-06-07 08:00,,
2021-06-07 16:00,,
2021-06-08 00:00,,
2021-06-08 08:00,,
2021-06-08 16:00,,
2021-06-09 00:00,,
2021-06-09 08:00,,
2021-06-09 16:00,,
2021-06-10 00:00,,
2021-06-10 08:00,,
2021-06-10 16:00,,
2021-06-11 00:00,,
2021-06-11 08:00,,
2021-06-11 16:00,,
2021-06-12 00:00,,
2021-06-12 08:00,,
2021-06-12 16:00,,
2021-06-13 00:00,,
2021-06-13 08:00,,
2021-06-13 16:00,,
2021-06-14 00:00,,
2021-06-14 08:00,,
2021-06-14 16:00,,
2021-06-15 00:00,,
2021-06-15 08:00,,
2021-06-15 16:00,,
2021-06-16 00:00,,
2021-06-16 08:00,,
2021-06-16 16:00,,
2021-06-17 00:00,,
2021-06-17 08:00,,
2021-06-17 16:00,,
2021-06-18 00:00,,
2021-06-18 08:00,,
2021-06-18 16:00,,
2021-06-19 00:00,,
2021-06-19 08:00,,
2021-06-19 16:00,,
2021-06-20 00:00,,
2021-06-20 08:00,,
2021-06-20 16:00,,
2021-06-21 00:00,,
2021-06-21 08:00,,
2021-06-21 16:00,,
2021-06-22 00:00,,
2021-06-22 08:00,,
2021-06-22 16:00,,
2021-06-23 00:00,,
2021-06-23 08:00,,
2021-06-23 16:00,,
2021-06-24 00:00,,
2021-06-24 08:00,,
2021-06-24 16:00,,
2021-06-25 00:00,,
2021-06-25 08:00,,
2021-06-25 16:00,,
2021-06-26 00:00,,
2021-06-26 08:00,,
2021-06-26 16:00,,
2021-06-27 00:00,,
2021-06-27 08:00,,
2021-06-27 16:00,,
2021-06-28 00:00,,
2021-06-28 08:00,,
2021-06-28 16:00,,
2021-06-29 00:00,,
2021-06-29 08:00,,
2021-06-29 16:00,,
2021-06-30 00:00,,
2021-06-30 08:00,,
2021-06-30 16:00,,
2021-07-01 00:00,,
2021-07-01 08:00,,
2021-07-01 16:00,,
2021-07-02 00:00,,
2021-07-02 08:00,,
