date,AirFranceWebScraper,AirFranceAppScraper
2021-05-25 02:37,,
2021-05-25 10:37,108.0,108.0
2021-05-25 18:37,,
2021-05-26 02:37,108.0,108.0
2021-05-26 10:37,,
2021-05-26 18:37,108.0,108.0
2021-05-27 00:00,,
2021-05-27 10:37,108.0,108.0
2021-05-27 18:37,108.0,108.0
2021-05-28 02:37,,
2021-05-28 00:00,,
2021-05-28 18:37,108.0,108.0
2021-05-29 02:37,142.0,142.0
2021-05-29 10:37,142.0,142.0
2021-05-29 18:37,142.0,142.0
2021-05-30 02:37,108.0,108.0
2021-05-30 10:37,108.0,108.0
2021-05-30 18:37,108.0,108.0
2021-05-31 02:37,108.0,108.0
2021-05-31 10:37,108.0,108.0
2021-05-31 18:37,,
2021-06-01 02:37,108.0,108.0
2021-06-01 10:37,108.0,108.0
2021-06-01 18:37,108.0,108.0
2021-06-02 02:37,108.0,108.0
2021-06-02 10:37,108.0,
2021-06-02 18:37,108.0,108.0
2021-06-03 02:37,108.0,108.0
2021-06-03 10:37,108.0,108.0
2021-06-03 18:37,108.0,108.0
2021-06-04 02:37,108.0,108.0
2021-06-04 10:37,108.0,108.0
2021-06-04 18:37,108.0,108.0
2021-06-05 02:07,108.0,108.0
2021-06-05 10:07,108.0,108.0
2021-06-05 18:07,,108.0
2021-06-06 02:07,,
2021-06-06 10:07,,
2021-06-06 18:07,,
2021-06-07 02:07,,
2021-06-07 10:07,,
2021-06-07 18:07,,
2021-06-08 02:07,,
2021-06-08 10:07,,
2021-06-08 17:45,108.0,108.0
2021-06-09 01:45,108.0,108.0
2021-06-09 09:45,108.0,108.0
2021-06-09 17:45,108.0,108.0
2021-06-10 01:45,108.0,108.0
2021-06-10 09:45,108.0,108.0
2021-06-10 17:45,108.0,108.0
2021-06-11 01:45,108.0,108.0
2021-06-11 09:45,108.0,108.0
2021-06-11 17:45,108.0,108.0
2021-06-12 01:45,108.0,108.0
2021-06-12 09:45,108.0,108.0
2021-06-12 17:45,108.0,108.0
2021-06-13 01:45,108.0,108.0
2021-06-13 09:45,108.0,108.0
2021-06-13 17:45,108.0,108.0
2021-06-14 01:45,108.0,108.0
2021-06-14 09:45,108.0,108.0
2021-06-14 17:45,108.0,108.0
2021-06-15 01:45,108.0,108.0
2021-06-15 09:45,108.0,108.0
2021-06-15 17:45,108.0,108.0
2021-06-16 01:45,108.0,108.0
2021-06-16 09:45,108.0,108.0
2021-06-16 17:45,108.0,108.0
2021-06-17 01:45,108.0,108.0
2021-06-17 09:45,108.0,108.0
2021-06-17 17:45,108.0,108.0
2021-06-18 01:45,108.0,108.0
2021-06-18 09:45,108.0,108.0
2021-06-18 17:45,108.0,108.0
2021-06-19 01:45,108.0,108.0
2021-06-19 09:45,108.0,108.0
2021-06-19 17:45,108.0,108.0
2021-06-20 01:45,142.0,142.0
2021-06-20 09:45,142.0,142.0
2021-06-20 17:45,142.0,142.0
2021-06-21 01:45,142.0,142.0
2021-06-21 09:45,142.0,142.0
2021-06-21 17:45,142.0,142.0
2021-06-22 01:45,108.0,108.0
2021-06-22 09:45,108.0,108.0
2021-06-22 17:45,108.0,108.0
2021-06-23 01:45,108.0,108.0
2021-06-23 09:45,,108.0
2021-06-23 17:45,,108.0
2021-06-24 01:45,,108.0
2021-06-24 09:45,,108.0
2021-06-24 17:45,,108.0
2021-06-25 01:45,,108.0
2021-06-25 09:45,,108.0
2021-06-25 17:45,,108.0
2021-06-26 01:45,,142.0
2021-06-26 09:45,,142.0
2021-06-26 17:45,,142.0
2021-06-27 01:45,,142.0
2021-06-27 09:45,,
2021-06-27 17:45,,142.0
2021-06-28 01:45,,142.0
2021-06-28 09:45,,
2021-06-28 17:45,,
2021-06-29 01:45,,
2021-06-29 09:45,,
2021-06-29 17:45,,
2021-06-30 01:45,,
2021-06-30 09:45,,
2021-06-30 17:45,,
2021-07-01 01:45,,
2021-07-01 09:45,,
2021-07-01 17:45,,
2021-07-02 01:45,,
2021-07-02 09:45,,
