date,OpodoWebScraper,OpodoAppScraper
2021-05-25 03:52,75.98,80.99
2021-05-25 11:52,77.98,76.99
2021-05-25 19:52,76.98,82.99
2021-05-26 03:52,84.98,80.99
2021-05-26 11:52,,
2021-05-26 19:52,,
2021-05-27 03:52,,
2021-05-27 11:52,82.98,84.99
2021-05-27 19:52,,
2021-05-28 03:52,,
2021-05-28 11:52,,
2021-05-28 19:52,77.98,84.99
2021-05-29 03:52,74.98,84.99
2021-05-29 11:52,76.98,84.99
2021-05-29 19:52,78.98,84.99
2021-05-30 03:52,76.98,83.99
2021-05-30 11:52,77.98,81.99
2021-05-30 19:52,84.98,78.99
2021-05-31 03:52,76.98,78.99
2021-05-31 11:53,84.98,84.99
2021-05-31 19:52,,87.99
2021-06-01 03:52,77.98,82.99
2021-06-01 11:52,74.98,83.99
2021-06-01 19:52,79.98,98.99
2021-06-02 03:52,79.98,83.99
2021-06-02 11:52,79.98,79.99
2021-06-02 19:52,77.98,77.99
2021-06-03 03:52,79.98,79.99
2021-06-03 11:52,75.98,82.99
2021-06-03 19:52,82.98,77.99
2021-06-04 03:52,75.98,83.99
2021-06-04 11:52,82.98,79.99
2021-06-04 19:52,79.98,77.99
2021-06-05 03:22,77.98,83.99
2021-06-05 11:22,75.98,83.99
2021-06-05 19:22,76.98,83.99
2021-06-06 03:22,,
2021-06-06 11:22,,
2021-06-06 19:22,,
2021-06-07 03:22,,
2021-06-07 11:22,,
2021-06-07 19:22,,
2021-06-08 03:22,,
2021-06-08 11:22,,
2021-06-08 19:00,,75.99
2021-06-09 03:00,77.98,79.99
2021-06-09 11:00,73.89,76.99
2021-06-09 19:00,80.98,80.99
2021-06-10 03:00,82.98,79.99
2021-06-10 11:00,75.98,75.99
2021-06-10 19:00,77.98,77.99
2021-06-11 03:00,80.98,80.99
2021-06-11 11:00,74.98,83.99
2021-06-11 19:00,81.98,78.99
2021-06-12 03:00,75.98,77.99
2021-06-12 11:00,75.98,83.99
2021-06-12 19:00,86.98,96.99
2021-06-13 03:00,86.98,94.99
2021-06-13 11:00,100.98,102.99
2021-06-13 19:00,99.98,101.99
2021-06-14 03:00,109.98,105.99
2021-06-14 11:00,105.98,104.99
2021-06-14 19:00,100.98,110.99
2021-06-15 03:00,100.98,110.99
2021-06-15 11:00,100.98,107.99
2021-06-15 19:00,119.98,119.99
2021-06-16 03:00,124.98,131.99
2021-06-16 11:00,137.98,118.99
2021-06-16 19:00,117.98,121.99
2021-06-17 03:00,115.98,116.99
2021-06-17 11:00,118.98,138.99
2021-06-17 19:00,125.98,139.99
2021-06-18 03:00,115.98,122.99
2021-06-18 11:00,113.98,135.99
2021-06-18 19:00,117.98,124.99
2021-06-19 03:00,117.98,119.99
2021-06-19 11:00,115.98,118.99
2021-06-19 19:00,116.98,128.99
2021-06-20 03:00,120.98,115.99
2021-06-20 11:00,119.98,124.99
2021-06-20 19:00,115.98,124.99
2021-06-21 03:00,126.98,130.99
2021-06-21 11:00,129.98,131.99
2021-06-21 19:00,131.98,130.99
2021-06-22 03:00,126.98,127.99
2021-06-22 11:00,124.98,129.99
2021-06-22 19:00,76.98,82.99
2021-06-23 03:00,73.98,76.99
2021-06-23 11:00,74.98,76.99
2021-06-23 19:00,78.98,81.99
2021-06-24 03:00,78.98,83.99
2021-06-24 11:00,124.98,137.99
2021-06-24 19:00,131.98,133.99
2021-06-25 03:00,136.98,137.99
2021-06-25 11:00,136.98,137.99
2021-06-25 19:00,129.98,127.99
2021-06-26 03:00,136.98,134.99
2021-06-26 11:00,132.98,134.99
2021-06-26 19:00,130.98,137.99
2021-06-27 03:00,129.98,131.99
2021-06-27 11:00,,
2021-06-27 19:00,129.98,137.99
2021-06-28 03:00,136.98,133.99
2021-06-28 11:00,132.98,136.99
2021-06-28 19:00,127.98,135.99
2021-06-29 03:00,134.98,129.99
2021-06-29 11:00,136.98,128.99
2021-06-29 19:00,126.98,137.99
2021-06-30 03:00,180.98,172.99
2021-06-30 11:00,171.98,177.99
2021-06-30 19:00,171.98,176.99
2021-07-01 03:00,134.98,131.99
2021-07-01 11:00,,
2021-07-01 19:00,,
2021-07-02 03:00,,
2021-07-02 11:00,,
