date,OpodoWebScraper,OpodoAppScraper
2021-05-25 03:52,108.98,
2021-05-25 11:52,109.98,109.99
2021-05-25 19:52,109.98,115.99
2021-05-26 03:52,117.98,113.99
2021-05-26 11:52,,
2021-05-26 19:52,,
2021-05-27 03:52,,
2021-05-27 11:52,115.98,118.99
2021-05-27 19:52,,
2021-05-28 03:52,,
2021-05-28 11:52,,
2021-05-28 19:52,139.98,146.99
2021-05-29 03:52,107.98,118.99
2021-05-29 11:52,109.98,118.99
2021-05-29 19:52,111.98,118.99
2021-05-30 03:52,108.98,117.99
2021-05-30 11:52,109.98,114.99
2021-05-30 19:52,117.98,111.99
2021-05-31 03:52,108.98,111.99
2021-05-31 11:53,117.98,118.99
2021-05-31 19:52,,148.99
2021-06-01 03:52,139.98,144.99
2021-06-01 11:52,108.98,118.99
2021-06-01 19:52,136.98,160.99
2021-06-02 03:52,113.98,118.99
2021-06-02 11:52,84.98,88.99
2021-06-02 19:52,87.98,89.99
2021-06-03 03:52,86.98,90.99
2021-06-03 11:52,85.98,93.99
2021-06-03 19:52,93.98,88.99
2021-06-04 03:52,85.98,93.99
2021-06-04 11:52,93.98,90.99
2021-06-04 19:52,89.98,88.99
2021-06-05 03:22,87.98,93.99
2021-06-05 11:22,108.98,118.99
2021-06-05 19:22,109.98,118.99
2021-06-06 03:22,,
2021-06-06 11:22,,
2021-06-06 00:00,,
2021-06-07 03:22,,
2021-06-07 11:22,,
2021-06-07 00:00,,
2021-06-08 03:22,,
2021-06-08 00:00,,
2021-06-08 19:00,,134.99
2021-06-09 03:00,136.98,138.99
2021-06-09 11:00,123.89,135.99
2021-06-09 19:00,139.98,139.99
2021-06-10 03:00,143.98,138.99
2021-06-10 11:00,134.98,134.99
2021-06-10 19:00,136.98,137.99
2021-06-11 03:00,138.98,139.99
2021-06-11 11:00,132.98,145.99
2021-06-11 19:00,140.98,138.99
2021-06-12 03:00,134.98,136.99
2021-06-12 11:00,134.98,144.99
2021-06-12 19:00,133.98,144.99
2021-06-13 03:00,133.98,141.99
2021-06-13 11:00,133.98,136.99
2021-06-13 19:00,133.98,134.99
2021-06-14 03:00,144.98,139.99
2021-06-14 11:00,139.98,138.99
2021-06-14 19:00,134.98,144.99
2021-06-15 03:00,133.98,144.99
2021-06-15 11:00,133.98,141.99
2021-06-15 19:00,138.98,138.99
2021-06-16 03:00,143.98,149.99
2021-06-16 11:00,149.98,137.99
2021-06-16 19:00,136.98,140.99
2021-06-17 03:00,160.98,160.99
2021-06-17 11:00,160.98,173.99
2021-06-17 19:00,144.98,149.99
2021-06-18 03:00,134.98,141.99
2021-06-18 11:00,178.98,196.99
2021-06-18 19:00,182.98,189.99
2021-06-19 03:00,181.98,183.99
2021-06-19 11:00,180.98,182.99
2021-06-19 19:00,180.98,193.99
2021-06-20 03:00,184.98,180.99
2021-06-20 11:00,183.98,191.99
2021-06-20 19:00,180.98,191.99
2021-06-21 03:00,180.98,183.99
2021-06-21 11:00,182.98,185.99
2021-06-21 19:00,184.98,183.99
2021-06-22 03:00,205.98,206.99
2021-06-22 11:00,233.98,238.99
2021-06-22 19:00,235.98,243.99
2021-06-23 03:00,233.98,236.99
2021-06-23 11:00,234.98,236.99
2021-06-23 19:00,238.98,242.99
2021-06-24 03:00,208.98,219.99
2021-06-24 11:00,253.98,270.99
2021-06-24 19:00,260.98,262.99
2021-06-25 03:00,269.98,270.99
2021-06-25 11:00,269.98,270.99
2021-06-25 19:00,257.98,256.99
2021-06-26 03:00,315.98,311.99
2021-06-26 11:00,316.98,317.99
2021-06-26 19:00,307.98,319.99
2021-06-27 03:00,307.98,309.99
2021-06-27 11:00,,
2021-06-27 19:00,316.98,321.99
2021-06-28 03:00,352.98,342.99
2021-06-28 11:00,343.98,347.99
2021-06-28 19:00,337.98,345.99
2021-06-29 03:00,344.98,339.99
2021-06-29 11:00,352.98,338.99
2021-06-29 19:00,337.98,352.99
2021-06-30 03:00,418.98,403.99
2021-06-30 11:00,404.98,410.99
2021-06-30 19:00,405.98,409.99
2021-07-01 03:00,409.98,407.99
2021-07-01 11:00,404.98,405.99
2021-07-01 19:00,,
2021-07-02 03:00,,
2021-07-02 11:00,,
