date,OpodoWebScraper,OpodoAppScraper
2021-05-25 04:07,124.98,126.99
2021-05-25 12:07,128.98,134.99
2021-05-25 20:07,132.98,133.99
2021-05-26 04:07,,
2021-05-26 12:07,,
2021-05-26 20:07,135.98,129.99
2021-05-27 04:07,131.98,134.99
2021-05-27 12:07,166.98,173.99
2021-05-27 20:07,,
2021-05-28 04:07,,
2021-05-28 12:07,,
2021-05-28 20:07,180.98,171.99
2021-05-29 04:07,168.98,175.99
2021-05-29 12:07,157.98,157.99
2021-05-29 20:07,180.98,181.99
2021-05-30 04:07,168.98,178.99
2021-05-30 12:07,180.98,177.99
2021-05-30 20:07,170.98,173.99
2021-05-31 04:07,172.98,178.99
2021-05-31 12:07,157.98,161.99
2021-05-31 20:07,180.98,178.99
2021-06-01 04:08,169.98,169.99
2021-06-01 12:07,171.98,174.99
2021-06-01 20:07,167.98,177.99
2021-06-02 04:07,173.98,178.99
2021-06-02 12:07,157.98,162.99
2021-06-02 20:07,167.98,170.99
2021-06-03 04:07,170.98,181.99
2021-06-03 12:07,171.98,159.99
2021-06-03 20:07,174.98,174.99
2021-06-04 04:08,166.98,169.99
2021-06-04 12:08,172.98,181.99
2021-06-04 20:07,168.98,181.99
2021-06-05 03:37,183.98,187.99
2021-06-05 11:38,200.98,188.99
2021-06-05 19:37,181.98,187.99
2021-06-06 03:37,,
2021-06-06 11:37,,
2021-06-06 19:37,,
2021-06-07 03:37,,
2021-06-07 11:37,,
2021-06-07 19:37,,
2021-06-08 03:37,,
2021-06-08 11:37,167.98,171.99
2021-06-08 19:15,173.98,181.99
2021-06-09 03:15,173.98,174.99
2021-06-09 11:15,172.98,181.99
2021-06-09 19:15,173.98,181.99
2021-06-10 03:15,172.98,181.99
2021-06-10 11:15,165.98,175.99
2021-06-10 19:15,168.98,174.99
2021-06-11 03:15,180.98,172.99
2021-06-11 11:15,171.98,170.99
2021-06-11 19:15,180.98,176.99
2021-06-12 03:15,166.98,181.99
2021-06-12 11:15,179.98,177.99
2021-06-12 19:15,168.98,178.99
2021-06-13 03:15,180.98,178.99
2021-06-13 11:15,123.98,129.99
2021-06-13 19:15,126.98,130.99
2021-06-14 03:15,123.98,132.99
2021-06-14 11:15,135.98,130.99
2021-06-14 19:15,126.98,134.99
2021-06-15 03:15,126.98,137.99
2021-06-15 11:15,128.98,129.99
2021-06-15 19:15,126.98,142.99
2021-06-16 03:15,145.98,134.99
2021-06-16 11:15,127.98,129.99
2021-06-16 19:15,124.98,132.99
2021-06-17 03:15,123.98,125.99
2021-06-17 11:15,129.98,127.99
2021-06-17 19:15,124.98,132.99
2021-06-18 03:15,129.98,148.99
2021-06-18 11:15,139.98,132.99
2021-06-18 19:15,130.98,127.99
2021-06-19 03:15,128.98,142.99
2021-06-19 11:15,126.98,126.99
2021-06-19 19:15,131.98,137.99
2021-06-20 03:15,130.98,134.99
2021-06-20 11:15,135.98,126.99
2021-06-20 19:15,131.98,129.99
2021-06-21 03:15,129.98,137.99
2021-06-21 11:15,125.98,137.99
2021-06-21 19:15,130.98,127.99
2021-06-22 03:15,124.98,125.99
2021-06-22 11:15,123.98,132.99
2021-06-22 19:15,125.98,134.99
2021-06-23 03:15,130.98,129.99
2021-06-23 11:15,133.98,126.99
2021-06-23 19:15,129.98,127.99
2021-06-24 03:15,124.98,133.99
2021-06-24 11:15,129.98,126.99
2021-06-24 19:15,125.98,132.99
2021-06-25 03:15,123.98,130.99
2021-06-25 11:15,123.98,126.99
2021-06-25 19:15,133.98,137.99
2021-06-26 03:15,125.98,132.99
2021-06-26 11:15,128.98,126.99
2021-06-26 19:15,126.98,134.99
2021-06-27 03:15,128.98,127.99
2021-06-27 11:15,,
2021-06-27 19:15,136.98,135.99
2021-06-28 03:15,129.98,137.99
2021-06-28 11:15,134.98,137.99
2021-06-28 19:15,130.98,137.99
2021-06-29 03:15,123.98,137.99
2021-06-29 11:15,136.98,126.99
2021-06-29 19:15,129.98,137.99
2021-06-30 03:15,124.98,134.99
2021-06-30 11:15,124.98,134.99
2021-06-30 19:15,130.98,131.99
2021-07-01 03:15,128.98,126.99
2021-07-01 11:15,127.98,128.99
2021-07-01 19:15,124.98,128.99
2021-07-02 03:15,130.98,125.99
2021-07-02 11:15,127.98,127.99
